object,Delta_R_km,rough_Delta_Lambda_over_Lambda,gate,action,reason,next_modeling_question
PSR J0740+6620,-0.900,-0.3483,G1-calibration,worth modeling now,Radius shift is below/near current uncertainty but rough tidal sensitivity is large; test against EOS + GW tidal constraints.,Can one EOS family fit J0740 mass/radius while allowing the torsion ΔR without violating BNS tidal constraints?
PSR J0740+6620,-0.500,-0.1935,G1-calibration,useful low-shift bound,Smaller radius shift may hide in current radius uncertainty; still useful for bounding torsion correction.,Can one EOS family fit J0740 mass/radius while allowing the torsion ΔR without violating BNS tidal constraints?
PSR J0740+6620,0.500,0.1935,G1-calibration,useful low-shift bound,Smaller radius shift may hide in current radius uncertainty; still useful for bounding torsion correction.,Can one EOS family fit J0740 mass/radius while allowing the torsion ΔR without violating BNS tidal constraints?
PSR J0740+6620,0.900,0.3483,G1-calibration,worth modeling now,Radius shift is below/near current uncertainty but rough tidal sensitivity is large; test against EOS + GW tidal constraints.,Can one EOS family fit J0740 mass/radius while allowing the torsion ΔR without violating BNS tidal constraints?
PSR J0030+0451,-0.900,-0.3629,G3-control,verify source data first,Good lower-mass control but current seed radius is a placeholder; verify before interpreting gate.,After verifying J0030 radius/mass inference, does the same source lane predict a smaller/control residual?
PSR J0030+0451,-0.500,-0.2016,G3-control,verify source data first,Good lower-mass control but current seed radius is a placeholder; verify before interpreting gate.,After verifying J0030 radius/mass inference, does the same source lane predict a smaller/control residual?
PSR J0030+0451,0.500,0.2016,G3-control,verify source data first,Good lower-mass control but current seed radius is a placeholder; verify before interpreting gate.,After verifying J0030 radius/mass inference, does the same source lane predict a smaller/control residual?
PSR J0030+0451,0.900,0.3629,G3-control,verify source data first,Good lower-mass control but current seed radius is a placeholder; verify before interpreting gate.,After verifying J0030 radius/mass inference, does the same source lane predict a smaller/control residual?
PSR J0952-0607,,,G0-no-radius,not radius-ready,No radius anchor; use as spin/current stress case or mass/EOS constraint not ΔR/ΔΛ gate.,Can this object constrain spin/current scaling through mass spin maximum mass or future radius/I data?
GW170817-like BNS,-0.900,-0.3462,G2-tidal-population,must check tidal compatibility,Rough tidal sensitivity is order-30%; any model with this ΔR must recompute Λ and EOS compatibility.,Does the torsion-induced ΔR survive full Love-number/EOS recomputation and GW tidal bounds?
GW170817-like BNS,-0.500,-0.1923,G2-tidal-population,tidal sensitivity moderate,Smaller shift still belongs in population/EOS check but is less immediately constraining.,Does the torsion-induced ΔR survive full Love-number/EOS recomputation and GW tidal bounds?
GW170817-like BNS,0.500,0.1923,G2-tidal-population,tidal sensitivity moderate,Smaller shift still belongs in population/EOS check but is less immediately constraining.,Does the torsion-induced ΔR survive full Love-number/EOS recomputation and GW tidal bounds?
GW170817-like BNS,0.900,0.3462,G2-tidal-population,must check tidal compatibility,Rough tidal sensitivity is order-30%; any model with this ΔR must recompute Λ and EOS compatibility.,Does the torsion-induced ΔR survive full Love-number/EOS recomputation and GW tidal bounds?
